title,calendarium_romanum,cantus,romcal
"Paulinus of Nola, bishop",paulinus,14062200,saintPaulinusOfNolaBishopSaintsJohnFisherBishopAndThomasMoreMartyrs
"Peter Canisius, priest and doctor",canisius,,saintPeterCanisiusPriestAndDoctor
"Peter Chanel, priest and martyr",peter_chanel,,saintPeterChanelPriestAndMartyrSaintLouisGrignonDeMontfortPriest
"Peter Chrysologus, bishop and doctor",peter_chrysologus,,saintPeterChrysologusBishopAndDoctor
"Peter Claver, priest",claver,,saintPeterClaverPriest
"Peter Damian, bishop and doctor of the Church",peter_damian,,saintPeterDamianBishopAndDoctorOfTheChurch
"Peter Julian Eymard, priest",eymard,,
"Philip Neri, priest",neri,14052620,saintPhilipNeriPriest
"Pio of Pietrelcina (Padre Pio), priest",padre_pio,,saintPioOfPietrelcinaPadrePioPriest
"Pius V, pope",pius_v,,saintPiusVPope
"Pius X, pope",pius_x,,saintPiusXPope
"Polycarp, bishop and martyr",polycarp,14012600,saintPolycarpBishopAndMartyr
Presentation of the Blessed Virgin Mary,bvm_presentation,14112100,presentationOfTheBlessedVirginMary
Presentation of the Lord,presentation_of_lord,14020200,
Queenship of Blessed Virgin Mary,bvm_queenship,14053130,queenshipOfBlessedVirginMary
"Raymond of Penyafort, priest",raymond,,saintRaymondOfPenyafortPriest
Rita of Cascia,rita,,saintRitaOfCascia
"Robert Bellarmine, bishop and doctor",bellarmine,,saintRobertBellarmineBishopAndDoctor
"Romuald, abbot",romuald,,saintRomualdAbbot
"Rose of Lima, virgin",rose_lima,,saintRoseOfLima
"Saints Basil the Great and Gregory Nazianzen, bishops and doctors",basil_gregory,14061400,saintsBasilTheGreatAndGregoryNazianzenBishopsAndDoctors
"Saints Charles Lwanga and companions, martyrs",ugandan_martyrs,,saintsCharlesLwangaAndCompanionsMartyrs
"Saints Cornelius, pope, and Cyprian, bishop, martyrs",cornelius_cyprian,14091600,saintsCorneliusPopeAndCyprianBishopMartyrs
"Saints Cosmas and Damian, martyrs",cosmas_damian,14092700,saintsCosmasAndDamianMartyrs
"Saints Cyril, monk, and Methodius, bishop",cyril_methodius,,saintsCyrilMonkAndMethodiusBishop
